房型,入住时间,入住类型,评分,评论,评论时间
豪华城景双床房,于2022年10月入住,家庭亲子,5,来青岛最值得打卡的酒店之一，前台小姐姐态度很好，很有耐心，酒店楼层高，观景效果更好，距离海边很近，步行5分钟，就到沙滩，设施很齐全，房间了居然配洗衣机家电等等，带孩子来青岛玩太合适了，升级了家庭房，孩子们玩的非常开心，睁开眼睛就看到大海的感觉太好了，强烈推荐大家！,2022年10月7日 发布于山东
豪华海景大床房,于2022年9月入住,商务出差,5,真的很喜欢很喜欢这个海景房！早上太阳好的时候一拉开窗就能看到大海，可见度也很高，还能看到摩托艇和飞伞在海上漂移。步行不到十分钟就能走到石老人海水浴场，我太喜欢海了，每天晚上都会去那里散步，海风也很舒服，清清凉凉地刚刚好。酒店前台的哥哥姐姐也很热心，我要的书桌什么的很快就帮我安排好了。 淡季的青岛很有魅力，能够在不拥挤嘈杂的人群里面享受一整片海域，真的是件很美好的事情。我本来住三天要换到另一个更方便的酒店去，但是由于海景太好看，楼下星巴克711也很方便，我就续住了两天，最后甚至不想离开。第一次对一个酒店写这样的评价，希望我下次还有机会在淡季的时候来青岛旅游。,2022年9月10日 发布于重庆
豪华城景双床房,于2022年9月入住,朋友出游,5,第一次住酒店公寓，体验感很好。酒店公寓设施齐全，在附近盒马买了海鲜可以回酒店蒸煮着吃，非常方便实惠，附近的外卖也非常多，这里的饺子特别好吃。在酒店就可以看海，晚霞非常美,2022年9月7日 发布于浙江
精品城景大床房,于2022年7月入住,商务出差,5,非常舒服，虽然只一天，因为出差，但是全程让我感受到了青岛的美。40层入住，非常的安静，而且房间设施也都非常不错。尤其冲澡的设施很好。忘记开发票，打电话后老板第一时间处理，2分钟内我就收到了发票。很棒 忘记拍照了，留两张青岛美图吧,2022年7月12日发布
豪华城景大床房,于2022年8月入住,家庭亲子,5,公寓房间宽敞明亮，喜欢坐在榻榻米上看外面的景色，还有洗衣机可以洗衣服，太适合带孩子出行的了！离石老人浴场步行十分钟左右，附近也有核酸检测点，地铁站，交通便利,2022年8月6日 发布于山东
精品城景大床房,于2022年8月入住,情侣出游,5,性价比一流，在房间内就能看到石老人和沙滩。交通方便，离地铁走路最多五分钟，旁边有大型商超，吃饭和娱乐都很方便。近核酸点也很接近！强烈推荐！,2022年8月18日 发布于江苏
豪华海景大床房,于2022年7月入住,商务出差,4.5,最让人印象深刻的是前台小妹和小哥的服务态度很好，房间也很宽敞干净洗衣机灶具也适合中长期度假，因为离海边还是有一定距离所以海景没有想像的完美，不过也可以了天气好的话看的还比较清楚,2022年7月12日发布
精品城景大床房,于2022年8月入住,商务出差,5,交通方便，离海边很近，步行去石老人海水浴场很方便，楼下距离商场很近，逛街吃饭也方便，景色好，房间也还可以，前台小姐姐的服务态度很好，办理入住很快。,2022年8月9日 发布于山东
豪华海景双床房,于2022年9月入住,独自旅行,4,酒店楼层很高，可以看海，设施品质还行吧。延了一个小时退房。就是楼梯上下，人太多，有点不耐烦等待。没有办法。,2022年9月3日 发布于山东
精品城景大床房,于2022年11月入住,商务出差,5,不错的体验， 卫生：很好 环境：临海,2022年12月21日 发布于北京
豪华城景大床房,于2022年8月入住,家庭亲子,3,旺季的青岛房价真是夸张的厉害，这家算是比较经济实惠的了，因为要去青岛大剧院看《只此青绿》步行十几分钟，这栋楼有很多家旅店，电梯很难等。,2022年8月11日 发布于山西
豪华城景双床房,于2022年7月入住,家庭亲子,5,房间总体干净，卫生间是干湿分离。（守住了我住店的底线，不分离的直接pass）走到海边10分钟，如愿在海里玩耍了一下，没留遗憾。如果能在1楼设个前台，那就更好了。,2022年7月19日发布
精品城景大床房,于2022年9月入住,其他,5,好，不错，下个月还来，主要离医院特别近，还可以帮忙打印健康宝，因为医院需要，还有机器人哟,2022年9月21日 发布于北京
豪华海景大床房,于2022年6月入住,独自旅行,5,一次难忘的旅行✈️ 6月份休长假，打算出去玩几天，同事推荐去青岛看海，顺带推荐了这家公寓和几家美食店。便定了机票和公寓。 🚗 交通：很便利，旁边就是地铁3号线，就是机场离这边有点远。但是出行还是很方便的。 🧹卫生：公寓很干净，保洁阿姨每天都会来敲门问是否需要做清洁。 🍃环境：房间很赞，隔着窗户可以看见大海，名副其实的海景房，物美价廉，房间还配备了冰箱、洗衣机、电磁炉和微波炉，真的是五脏俱全了。可惜我日子没挑好，去了四天，几乎天天都有很重的雾霭…..可惜了这么好的房间了。 🔔服务：公寓前台在28层，小姐姐说话很温柔，还特地加了微信，说有什么需要直接微信联系她，真的要给小姐姐加鸡腿了🍗 这次的旅行很满意，如果还有下次来青岛的机会，还要再定这一家公寓😁😁😁,2022年6月30日发布
豪华城景大床房,于2022年7月入住,家庭亲子,5,酒店位置很好，交通方便，离石老人浴场很近，前台服务热情，比我们在五四广场住的地方便宜还干净！！！再次给前台美女赞一个,2022年8月1日 发布于山东
精品城景大床房,于2022年9月入住,独自旅行,5,蓝朵家已经反反复复住好几次了 卫生干净 非常满意,2022年10月17日 发布于山东
豪华海景双床房,于2022年10月入住,朋友出游,5,房间可以看到海，离石老人海浴场很近,2022年10月7日 发布于山东
豪华城景双床房,于2022年8月入住,家庭亲子,5,还是挺满意的，步行到石老人海水浴场十分钟，有洗衣机，电磁炉，电冰箱……,2022年8月29日 发布于江苏
豪华海景大床房,于2022年7月入住,商务出差,4.5,窗外景色绝佳，入住时的天气没有预期好，生活购物都非常方便，距离海边很近，楼层很高很安静，但整体卫生卫生要加强哦,2022年7月25日 发布于北京
豪华海景双床房,于2022年6月入住,家庭亲子,5,入住方便，没有施工声音，靠近地铁交通便利，楼下有便利店，附近有肯德基麦当劳星巴克便利店等，离沙滩很近，酒店可以开窗吹海风，窗台很大，舒适,2022年7月4日发布
豪华城景双床房,于2022年6月入住,朋友出游,5,环境:房间更很大很宽敞 设备齐全 这个飘窗真是爱了 风景很好 电梯需要刷卡很有安全感 卫生:干净整洁，住起来很安心 服务:前台小姐姐态度很好，基本就是有求必应 交通:打车很方便，距离苗岭路走路七八分钟，离海边也很近，附近有丽达金狮等商场各种吃的，吃饭方便。推荐推荐,2022年6月18日发布
